ilmenite_head_grade;rego_heat
1;0.3385310010395386
2;0.3394446348319367
3;0.34035826862433494
4;0.3412719024167331
5;0.3421855362091314
6;0.3430991700015294
7;0.3440128037939277
8;0.3449264375863258
9;0.345840071378724
10;0.3467537051711222
11;0.3476673389635202
12;0.3485809727559183
13;0.3494946065483166
14;0.35040824034071477
15;0.351321874133113
16;0.352235507925511
17;0.3531491417179092
18;0.3540627755103074
19;0.35497640930270563
20;0.35589004309510375
21;0.3568036768875018
22;0.35771731067990004
23;0.35863094447229826
24;0.35954457826469643
25;0.36045821205709466
26;0.36137184584949267
27;0.36228547964189084
28;0.36319911343428907
29;0.3641127472266872
30;0.36502638101908547
31;0.36594001481148347
32;0.3668536486038817
33;0.36776728239627987
34;0.3686809161886781
35;0.36959454998107616
36;0.3705081837734743
37;0.3714218175658725
38;0.3723354513582706
39;0.3732490851506688
40;0.37416271894306713
41;0.37507635273546513
42;0.3759899865278633
43;0.3769036203202615
44;0.37781725411265965
45;0.37873088790505777
46;0.37964452169745594
47;0.3805581554898541
48;0.3814717892822523
49;0.3823854230746506
50;0.3832990568670487
51;0.38421269065944674
52;0.38512632445184497
53;0.3860399582442432
54;0.38695359203664137
55;0.3878672258290394
56;0.38878085962143755
57;0.3896944934138357
58;0.39060812720623395
59;0.3915217609986322
60;0.3924353947910303
61;0.3933490285834284
62;0.39426266237582663
63;0.39517629616822475
64;0.396089929960623
65;0.39700356375302104
66;0.3979171975454192
67;0.39883083133781744
68;0.3997444651302156
69;0.40065809892261384
70;0.40157173271501195
71;0.40248536650741007
72;0.4033990002998082
73;0.4043126340922064
74;0.40522626788460464
75;0.4061399016770027
76;0.40705353546940093
77;0.40796716926179905
78;0.4088808030541973
79;0.4097944368465954
80;0.41070807063899356
81;0.41162170443139173
82;0.41253533822378985
83;0.413448972016188
84;0.4143626058085862
85;0.4152762396009844
86;0.41618987339338254
87;0.4171035071857807
88;0.4180171409781789
89;0.4189307747705771
90;0.41984440856297517
91;0.42075804235537334
92;0.4216716761477715
93;0.4225853099401697
94;0.4234989437325679
95;0.424412577524966
96;0.42532621131736414
97;0.42623984510976237
98;0.4271534789021605
99;0.4280671126945587
100;0.4289807464869568
101;0.42989438027935495
102;0.430808014071753
103;0.43172164786415135
104;0.43263528165654963
105;0.43354891544894764
106;0.43446254924134586
107;0.435376183033744
108;0.4362898168261422
109;0.4372034506185403
110;0.43811708441093844
111;0.43903071820333667
112;0.43994435199573473
113;0.440857985788133
114;0.4417716195805312
115;0.4426852533729293
116;0.44359888716532747
117;0.44451252095772553
118;0.4454261547501238
119;0.44633978854252204
120;0.44725342233492016
121;0.44816705612731833
122;0.4490806899197165
123;0.4499943237121146
124;0.4509079575045128
125;0.45182159129691096
126;0.4527352250893091
127;0.45364885888170714
128;0.4545624926741054
129;0.45547612646650365
130;0.4563897602589019
131;0.45730339405129994
132;0.4582170278436981
133;0.4591306616360963
134;0.46004429542849445
135;0.46095792922089257
136;0.4618715630132907
137;0.46278519680568897
138;0.46369883059808714
139;0.4646124643904852
140;0.46552609818288343
141;0.46643973197528155
142;0.46735336576767966
143;0.4682669995600779
144;0.4691806333524761
145;0.47009426714487423
146;0.4710079009372723
147;0.47192153472967047
148;0.4728351685220688
149;0.47374880231446687
150;0.47466243610686504
151;0.47557606989926315
152;0.47648970369166127
153;0.4774033374840595
154;0.47831697127645767
155;0.47923060506885584
156;0.480144238861254
157;0.4810578726536522
158;0.4819715064460504
159;0.4828851402384486
160;0.48379877403084665
161;0.4847124078232448
162;0.485626041615643
163;0.48653967540804116
164;0.48745330920043933
165;0.4883669429928375
166;0.48928057678523573
167;0.49019421057763374
168;0.491107844370032
169;0.4920214781624302
170;0.49293511195482825
171;0.4938487457472265
172;0.4947623795396246
173;0.4956760133320229
174;0.49658964712442105
175;0.4975032809168193
176;0.49841691470921723
177;0.4993305485016154
178;0.5002441822940137
179;0.5011578160864119
180;0.50207144987881
181;0.5029850836712081
182;0.5038987174636061
183;0.5048123512560045
184;0.5057259850484027
185;0.5066396188408009
186;0.507553252633199
187;0.508466886425597
188;0.5093805202179952
189;0.5102941540103935
190;0.5112077878027916
191;0.5121214215951898
192;0.5130350553875879
193;0.513948689179986
194;0.5148623229723842
195;0.5157759567647824
196;0.5166895905571806
197;0.5176032243495786
198;0.5185168581419769
199;0.5194304919343752
