ilmenite_head_grade;rego_heat
1;0.29073197509651977
2;0.29090038946856767
3;0.29106880384061545
4;0.2912372182126633
5;0.2914056325847112
6;0.2915740469567589
7;0.2917424613288068
8;0.2919108757008546
9;0.29207929007290245
10;0.2922477044449503
11;0.29241611881699814
12;0.2925845331890459
13;0.2927529475610937
14;0.29292136193314156
15;0.29308977630518945
16;0.2932581906772372
17;0.29342660504928514
18;0.29359501942133287
19;0.2937634337933807
20;0.29393184816542867
21;0.29410026253747634
22;0.29426867690952424
23;0.2944370912815721
24;0.2946055056536199
25;0.29477392002566777
26;0.2949423343977155
27;0.2951107487697634
28;0.2952791631418112
29;0.295447577513859
30;0.29561599188590687
31;0.29578440625795466
32;0.29595282063000256
33;0.29612123500205034
34;0.29628964937409813
35;0.2964580637461461
36;0.2966264781181937
37;0.29679489249024166
38;0.29696330686228944
39;0.29713172123433734
40;0.2973001356063852
41;0.2974685499784329
42;0.2976369643504808
43;0.2978053787225286
44;0.29797379309457644
45;0.2981422074666243
46;0.29831062183867213
47;0.2984790362107199
48;0.29864745058276776
49;0.2988158649548156
50;0.29898427932686344
51;0.29915269369891107
52;0.2993211080709591
53;0.29948952244300686
54;0.29965793681505476
55;0.29982635118710255
56;0.29999476555915033
57;0.3001631799311981
58;0.300331594303246
59;0.30050000867529386
60;0.30066842304734176
61;0.30083683741938955
62;0.3010052517914374
63;0.3011736661634852
64;0.301342080535533
65;0.30151049490758086
66;0.30167890927962865
67;0.3018473236516766
68;0.3020157380237243
69;0.3021841523957721
70;0.30235256676781996
71;0.30252098113986775
72;0.3026893955119157
73;0.3028578098839634
74;0.3030262242560112
75;0.3031946386280591
76;0.30336305300010685
77;0.30353146737215475
78;0.30369988174420254
79;0.30386829611625044
80;0.3040367104882982
81;0.304205124860346
82;0.3043735392323939
83;0.3045419536044417
84;0.30471036797648954
85;0.3048787823485374
86;0.3050471967205852
87;0.305215611092633
88;0.3053840254646808
89;0.3055524398367287
90;0.30572085420877654
91;0.30588926858082427
92;0.30605768295287217
93;0.30622609732491995
94;0.3063945116969678
95;0.30656292606901564
96;0.3067313404410634
97;0.3068997548131113
98;0.3070681691851591
